2015-05-28 15:38:21,011 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,081 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1295 ; args=(1295,)
2015-05-28 15:38:21,083 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,085 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1297 ; args=(1297,)
2015-05-28 15:38:21,087 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,089 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1299 ; args=(1299,)
2015-05-28 15:38:21,091 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,093 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1301 ; args=(1301,)
2015-05-28 15:38:21,095 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
2015-05-28 15:38:21,097 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `ENV`.`ENV_ID`, `ENV`.`PLATFORM_ID_id`, `ENV`.`LDAP`, `ENV`.`STATUS`, `ENV`.`TIME`, `ENV`.`IMPR_SVN`, `ENV`.`RESIN_SVN`, `ENV`.`IMPR_PORT`, `ENV`.`RESIN_PORT`, `ENV`.`EMMA_PORT` FROM `ENV` WHERE `ENV`.`ENV_ID` = 1299 ; args=(1299,)
2015-05-28 15:38:21,104 [Thread-3137:1138293056] [django.db.backends:51] [DEBUG]- (0.000) SELECT `Platform`.`id`, `Platform`.`PLATFORM_NAME`, `Platform`.`PLATFORM_PATH`, `Platform`.`TESTCASE_NAME`, `Platform`.`SOURCEDATA_NAME` FROM `Platform` WHERE `Platform`.`id` = 5 ; args=(5,)
